Entity,Code,Date,grocery_and_pharmacy
Afghanistan,AFG,2020-08-06,-1.714
Afghanistan,AFG,2020-08-07,0.571
Afghanistan,AFG,2020-08-08,5
Afghanistan,AFG,2020-08-09,9.714
Afghanistan,AFG,2020-08-10,15
Afghanistan,AFG,2020-08-11,17.429
Afghanistan,AFG,2020-08-12,19.429
Afghanistan,AFG,2020-08-13,20.857
Afghanistan,AFG,2020-08-14,22.143
Afghanistan,AFG,2020-08-15,25
Afghanistan,AFG,2020-08-16,27
Afghanistan,AFG,2020-08-17,25.667
Afghanistan,AFG,2020-08-18,25.6
Afghanistan,AFG,2020-08-19,25.25
Afghanistan,AFG,2020-08-20,26.333
Afghanistan,AFG,2020-09-13,46.667
Afghanistan,AFG,2020-09-14,52.5
Afghanistan,AFG,2020-09-15,55.2
Afghanistan,AFG,2020-09-16,56.833
Afghanistan,AFG,2020-09-17,51
Afghanistan,AFG,2020-09-18,49.571
Afghanistan,AFG,2020-09-19,49.571
Afghanistan,AFG,2020-09-20,49.571
Afghanistan,AFG,2020-09-21,49.286
Afghanistan,AFG,2020-09-22,48.429
Afghanistan,AFG,2020-09-23,47
Afghanistan,AFG,2020-09-24,46.429
Afghanistan,AFG,2020-09-25,46.143
Afghanistan,AFG,2020-09-26,45.286
Afghanistan,AFG,2020-09-27,44.286
Afghanistan,AFG,2020-09-28,43.143
Afghanistan,AFG,2020-09-29,42.286
Afghanistan,AFG,2020-09-30,41.429
Afghanistan,AFG,2020-10-01,40.714
Afghanistan,AFG,2020-10-02,41.429
Afghanistan,AFG,2020-10-03,42
Afghanistan,AFG,2020-10-04,43.714
Afghanistan,AFG,2020-10-05,44.286
Afghanistan,AFG,2020-10-06,44.714
Afghanistan,AFG,2020-10-07,45.429
Afghanistan,AFG,2020-10-08,46.857
Afghanistan,AFG,2020-10-09,46.286
Afghanistan,AFG,2020-10-10,46
Afghanistan,AFG,2020-10-11,45.286
Afghanistan,AFG,2020-10-12,45.286
Afghanistan,AFG,2020-10-13,45.857
Afghanistan,AFG,2020-10-14,47.143
Afghanistan,AFG,2020-10-15,48.143
Afghanistan,AFG,2020-10-16,50.286
Afghanistan,AFG,2020-10-17,50.857
Afghanistan,AFG,2020-10-18,50.429
Afghanistan,AFG,2020-10-19,51.714
Afghanistan,AFG,2020-10-20,51.714
Afghanistan,AFG,2020-10-21,52.143
Afghanistan,AFG,2020-10-22,52.714
Afghanistan,AFG,2020-10-23,54
Afghanistan,AFG,2020-10-24,55.714
Afghanistan,AFG,2020-10-25,58
Afghanistan,AFG,2020-10-26,59.429
Afghanistan,AFG,2020-10-27,60.429
Afghanistan,AFG,2020-10-28,60.571
Afghanistan,AFG,2020-10-29,55.857
Afghanistan,AFG,2020-10-30,53
Afghanistan,AFG,2020-10-31,50.714
Afghanistan,AFG,2020-11-01,49.286
Afghanistan,AFG,2020-11-02,47.143
Afghanistan,AFG,2020-11-03,46.143
Afghanistan,AFG,2020-11-04,45.143
Afghanistan,AFG,2020-11-05,48.286
Afghanistan,AFG,2020-11-06,47.429
Afghanistan,AFG,2020-11-07,47
Afghanistan,AFG,2020-11-08,46.571
Afghanistan,AFG,2020-11-09,45.857
Afghanistan,AFG,2020-11-10,45.571
Afghanistan,AFG,2020-11-11,45.286
Afghanistan,AFG,2020-11-12,45.571
Afghanistan,AFG,2020-11-13,46.143
Afghanistan,AFG,2020-11-14,45.714
Afghanistan,AFG,2020-11-15,45.429
Afghanistan,AFG,2020-11-16,46.286
Afghanistan,AFG,2020-11-17,46.857
Afghanistan,AFG,2020-11-18,47.571
Afghanistan,AFG,2020-11-19,45.571
Afghanistan,AFG,2020-11-20,45.429
Afghanistan,AFG,2020-11-21,46.571
Afghanistan,AFG,2020-11-22,47.286
Afghanistan,AFG,2020-11-23,45.857
Afghanistan,AFG,2020-11-24,45.143
Angola,AGO,2020-02-17,-2
Angola,AGO,2020-02-18,-2.5
Angola,AGO,2020-02-19,-4.4
Angola,AGO,2020-02-20,-4.5
Angola,AGO,2020-02-21,-4
Angola,AGO,2020-02-22,-3.429
Angola,AGO,2020-02-23,-3.143
Angola,AGO,2020-02-24,-3.714
Angola,AGO,2020-02-25,-6
Angola,AGO,2020-02-26,-4.714
Angola,AGO,2020-02-27,-3.571
Angola,AGO,2020-02-28,-2.429
Angola,AGO,2020-02-29,-1.286
Angola,AGO,2020-03-01,0.714
Angola,AGO,2020-03-02,3.143
Angola,AGO,2020-03-03,7
Angola,AGO,2020-03-04,8.286
Angola,AGO,2020-03-05,9
Angola,AGO,2020-03-06,8.857
Angola,AGO,2020-03-07,8.429
Angola,AGO,2020-03-08,7.286
Angola,AGO,2020-03-09,6.429
Angola,AGO,2020-03-10,5.857
Angola,AGO,2020-03-11,5
Angola,AGO,2020-03-12,4.143
Angola,AGO,2020-03-13,3.429
Angola,AGO,2020-03-14,2.714
Angola,AGO,2020-03-15,1.857
Angola,AGO,2020-03-16,1.429
Angola,AGO,2020-03-17,0.571
Angola,AGO,2020-03-18,0.714
Angola,AGO,2020-03-19,2
Angola,AGO,2020-03-20,3.714
Angola,AGO,2020-03-21,5.714
Angola,AGO,2020-03-22,4.857
Angola,AGO,2020-03-23,1.286
Angola,AGO,2020-03-24,0.571
Angola,AGO,2020-03-25,0.571
Angola,AGO,2020-03-26,2.286
Angola,AGO,2020-03-27,-2.714
Angola,AGO,2020-03-28,-9.714
Angola,AGO,2020-03-29,-14.857
Angola,AGO,2020-03-30,-16.429
Angola,AGO,2020-03-31,-20.571
Angola,AGO,2020-04-01,-25.857
Angola,AGO,2020-04-02,-34.143
Angola,AGO,2020-04-03,-36
Angola,AGO,2020-04-04,-37
Angola,AGO,2020-04-05,-36.571
Angola,AGO,2020-04-06,-36.143
Angola,AGO,2020-04-07,-35.571
Angola,AGO,2020-04-08,-35.571
Angola,AGO,2020-04-09,-34.857
Angola,AGO,2020-04-10,-35.143
Angola,AGO,2020-04-11,-34
Angola,AGO,2020-04-12,-33.857
Angola,AGO,2020-04-13,-34.857
Angola,AGO,2020-04-14,-35.143
Angola,AGO,2020-04-15,-35.714
Angola,AGO,2020-04-16,-36.286
Angola,AGO,2020-04-17,-36.286
Angola,AGO,2020-04-18,-37.571
Angola,AGO,2020-04-19,-38.286
Angola,AGO,2020-04-20,-38.143
Angola,AGO,2020-04-21,-38
Angola,AGO,2020-04-22,-38
Angola,AGO,2020-04-23,-37.571
Angola,AGO,2020-04-24,-37.143
Angola,AGO,2020-04-25,-34.714
Angola,AGO,2020-04-26,-32.143
Angola,AGO,2020-04-27,-29.571
Angola,AGO,2020-04-28,-26.286
Angola,AGO,2020-04-29,-22.286
Angola,AGO,2020-04-30,-18.714
Angola,AGO,2020-05-01,-18.286
Angola,AGO,2020-05-02,-17
Angola,AGO,2020-05-03,-17.571
Angola,AGO,2020-05-04,-18.143
Angola,AGO,2020-05-05,-18.857
Angola,AGO,2020-05-06,-20.286
Angola,AGO,2020-05-07,-21.143
Angola,AGO,2020-05-08,-19.571
Angola,AGO,2020-05-09,-19
Angola,AGO,2020-05-10,-18.857
Angola,AGO,2020-05-11,-18.714
Angola,AGO,2020-05-12,-18.714
Angola,AGO,2020-05-13,-18.429
Angola,AGO,2020-05-14,-19.286
Angola,AGO,2020-05-15,-19.143
Angola,AGO,2020-05-16,-19.857
Angola,AGO,2020-05-17,-19.857
Angola,AGO,2020-05-18,-19.714
Angola,AGO,2020-05-19,-20.286
Angola,AGO,2020-05-20,-20.571
Angola,AGO,2020-05-21,-20.714
Angola,AGO,2020-05-22,-20.714
Angola,AGO,2020-05-23,-20.143
Angola,AGO,2020-05-24,-19.571
Angola,AGO,2020-05-25,-18.857
Angola,AGO,2020-05-26,-17
Angola,AGO,2020-05-27,-14
Angola,AGO,2020-05-28,-10.857
Angola,AGO,2020-05-29,-7.429
Angola,AGO,2020-05-30,-5
Angola,AGO,2020-05-31,-2.286
Angola,AGO,2020-06-01,1.143
Angola,AGO,2020-06-02,2.429
Angola,AGO,2020-06-03,2.714
Angola,AGO,2020-06-04,2.429
Angola,AGO,2020-06-05,2
Angola,AGO,2020-06-06,1.286
Angola,AGO,2020-06-07,0.429
Angola,AGO,2020-06-08,-1.143
Angola,AGO,2020-06-09,-1.714
Angola,AGO,2020-06-10,-2.429
Angola,AGO,2020-06-11,-2.857
Angola,AGO,2020-06-12,-3.429
Angola,AGO,2020-06-13,-4
Angola,AGO,2020-06-14,-4.714
Angola,AGO,2020-06-15,-5.143
Angola,AGO,2020-06-16,-5.286
Angola,AGO,2020-06-17,-5.571
Angola,AGO,2020-06-18,-6.286
Angola,AGO,2020-06-19,-6.857
Angola,AGO,2020-06-20,-7.286
Angola,AGO,2020-06-21,-7.429
Angola,AGO,2020-06-22,-7.857
Angola,AGO,2020-06-23,-8
Angola,AGO,2020-06-24,-7.571
Angola,AGO,2020-06-25,-6
Angola,AGO,2020-06-26,-3.714
Angola,AGO,2020-06-27,-1.571
Angola,AGO,2020-06-28,0.286
Angola,AGO,2020-06-29,2.571
Angola,AGO,2020-06-30,5
Angola,AGO,2020-07-01,6.857
Angola,AGO,2020-07-02,7.857
Angola,AGO,2020-07-03,7.857
Angola,AGO,2020-07-04,7.571
Angola,AGO,2020-07-05,7.429
Angola,AGO,2020-07-06,7
Angola,AGO,2020-07-07,5.714
Angola,AGO,2020-07-08,4.571
Angola,AGO,2020-07-09,2.143
Angola,AGO,2020-07-10,-0.286
Angola,AGO,2020-07-11,-1.429
Angola,AGO,2020-07-12,-2.857
Angola,AGO,2020-07-13,-4.857
Angola,AGO,2020-07-14,-6.429
Angola,AGO,2020-07-15,-8.571
Angola,AGO,2020-07-16,-8.571
Angola,AGO,2020-07-17,-9
Angola,AGO,2020-07-18,-9.714
Angola,AGO,2020-07-19,-10.143
Angola,AGO,2020-07-20,-10.286
Angola,AGO,2020-07-21,-10.571
Angola,AGO,2020-07-22,-10.857
Angola,AGO,2020-07-23,-11
Angola,AGO,2020-07-24,-10.143
Angola,AGO,2020-07-25,-8.571
Angola,AGO,2020-07-26,-7.429
Angola,AGO,2020-07-27,-6.286
Angola,AGO,2020-07-28,-4.714
Angola,AGO,2020-07-29,-2.571
Angola,AGO,2020-07-30,0
Angola,AGO,2020-07-31,1.286
Angola,AGO,2020-08-01,2.429
Angola,AGO,2020-08-02,3.571
Angola,AGO,2020-08-03,4.286
Angola,AGO,2020-08-04,4.857
Angola,AGO,2020-08-05,4.571
Angola,AGO,2020-08-06,3.571
Angola,AGO,2020-08-07,2.429
Angola,AGO,2020-08-08,1.143
Angola,AGO,2020-08-09,-0.143
Angola,AGO,2020-08-10,-0.429
Angola,AGO,2020-08-11,-1
Angola,AGO,2020-08-12,-1
Angola,AGO,2020-08-13,-1.143
Angola,AGO,2020-08-14,-0.571
Angola,AGO,2020-08-15,-1
Angola,AGO,2020-08-16,-1.143
Angola,AGO,2020-08-17,-1.571
Angola,AGO,2020-08-18,-2
Angola,AGO,2020-08-19,-2.857
Angola,AGO,2020-08-20,-3.714
Angola,AGO,2020-08-21,-4.429
Angola,AGO,2020-08-22,-4.857
Angola,AGO,2020-08-23,-5.143
Angola,AGO,2020-08-24,-5.429
Angola,AGO,2020-08-25,-5.429
