Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Sweden,Consumer Confidence,1997-10-31T00:00:00,98.9,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,1997-11-30T00:00:00,96.5,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,1997-12-31T00:00:00,100.9,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,1998-01-31T00:00:00,103.1,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,1998-02-28T00:00:00,98.8,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,1998-03-31T00:00:00,99.6,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,1998-04-30T00:00:00,103,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,1998-05-31T00:00:00,103.4,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,1998-06-30T00:00:00,103.9,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,1998-07-31T00:00:00,105.7,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,1998-08-31T00:00:00,101.4,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,1998-09-30T00:00:00,101.1,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,1998-10-31T00:00:00,102.5,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,1998-11-30T00:00:00,105.1,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,1998-12-31T00:00:00,101.9,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,1999-01-31T00:00:00,108.3,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,1999-02-28T00:00:00,106,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,1999-03-31T00:00:00,105.8,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,1999-04-30T00:00:00,106.7,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,1999-05-31T00:00:00,107.8,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,1999-06-30T00:00:00,109.3,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,1999-07-31T00:00:00,109.1,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,1999-08-31T00:00:00,113.6,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,1999-09-30T00:00:00,114.4,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,1999-10-31T00:00:00,114.5,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,1999-11-30T00:00:00,111.6,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,1999-12-31T00:00:00,115.7,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2000-01-31T00:00:00,121.4,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2000-02-29T00:00:00,121.4,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2000-03-31T00:00:00,122.7,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2000-04-30T00:00:00,121,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2000-05-31T00:00:00,119.9,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2000-06-30T00:00:00,118,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2000-07-31T00:00:00,117.5,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2000-08-31T00:00:00,120.5,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2000-09-30T00:00:00,115.9,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2000-10-31T00:00:00,117.9,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2000-11-30T00:00:00,116.9,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2000-12-31T00:00:00,113,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2001-01-31T00:00:00,108,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,2001-02-28T00:00:00,104.4,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2001-03-31T00:00:00,102.8,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2001-04-30T00:00:00,100.5,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2001-05-31T00:00:00,100.5,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2001-06-30T00:00:00,99.9,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2001-07-31T00:00:00,98.8,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2001-08-31T00:00:00,97.5,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2001-09-30T00:00:00,93.3,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2001-10-31T00:00:00,94.7,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2001-11-30T00:00:00,97.8,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2001-12-31T00:00:00,101.7,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2002-01-31T00:00:00,99.6,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2002-02-28T00:00:00,106.1,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2002-03-31T00:00:00,108.2,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2002-04-30T00:00:00,107,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2002-05-31T00:00:00,106.1,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2002-06-30T00:00:00,104.2,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2002-07-31T00:00:00,106,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2002-08-31T00:00:00,101.2,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2002-09-30T00:00:00,101.7,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2002-10-31T00:00:00,98,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2002-11-30T00:00:00,98.4,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2002-12-31T00:00:00,96.6,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2003-01-31T00:00:00,92.6,Monthly,SWECCI,2020-08-27T08:06:00
